"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","NO. LEO. GUN CLUB DAM","BAGGETTS POND","MA01580","-","Private","NO LEOMINSTER ROD & GUN CLUB","14","0","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TR-EASTER BROOK","SHIRLEY","4","WORCESTER","MA","MA03","Niki Tsongas (D)","N","N","N","-","-71.70020447","42.54463996"
"","DRAKA DAM","FERC P-2801","MA01170","10/21/2014","Private","LANDMAN OMNIBUS XIII LIMITED PARTNERSHIP","13","640","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","-","THREE MILE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.12971","41.86803"
"","DEVILS DISHFULL POND DAM","FERC P-2801","MA01138","-","Local Government","CITY OF PEABODY, OFFICE OF THE MAYOR","7.5","54","-","-","-","NORTH BROOK","-","0","-","MA","MA06","Seth Moulton (D)","N","N","N","-","-71.004062","42.540719"
"","STRANGMANS POND DAM","-","MA03169","05/12/2015","Private","UNKNOWN","10","920","Water Supply","Water Supply","Earth","TRIBUTARY OF ANNISQUAM RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.66832728","42.63010442"
"","WILLOW ST. BY-PASS DAM","-","MA03110","05/23/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","12","700","Flood Control","Flood Control","-","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.263626","42.257708"
"","FELLS RESERVOIR DAM - #8","-","MA03310","09/16/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","48","150","Water Supply","Water Supply","Earth","N/A","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","02/10/2011","-71.082055","42.444984"
"","FELLS RESERVOIR DAM - #6","-","MA03309","09/16/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","17","150","Water Supply","Water Supply","Earth","TRIBUTARY OF MALDEN RIVER","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","02/10/2011","-71.083035","42.447439"
"","STATELINE DAM","MEADOWBROOK DAM","MA03192","08/12/2010","Local Government","TOWN OF AMESBURY, DEPT OF PUBLIC WORKS","6.5","300","Recreation","Water Supply, Recreation","Earth","BACK RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.996111","42.86355"
"","BEAVER DAM POND","-","MA03168","-","Private","-","13","242.27","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.57061006","41.9011903"
"","MEDWAY PARK DAM","CHOATE PARK DAM","MA03119","09/24/2013","Local Government","TOWN OF MEDWAY, DEPARTMENT OF PUBLIC SERVICES","12","100","Recreation","Recreation","Earth","CHICKEN BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.428093","42.148001"
"","WETHERELL POND DAM","-","MA03125","05/14/2009","Local Government","TOWN OF PLAINVILLE, CONSERVATION COMMISSION","7","65","Recreation","Recreation","-","TEN MILE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.33433453","41.99967789"
"","TORREY POND DAM","-","MA03156","11/21/2006","Private","ROBERT BENNETT","10","84.8","Recreation","Recreation","Earth","SECOND HERRING BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.78970985","42.16596037"
"","LAKE WICKABOAG DAM","FERC P-2801","MA02920","08/24/2009","Local Government","TOWN OF WEST BROOKFIELD, BOARD OF SELECTMEN","7.2","1126","Recreation","Recreation","Earth","SUCKER BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.160167","42.23594"
"","WASTE WATER TREATMENT PLANT DAM","FERC P-2801","MA02776","03/31/2009","Local Government","CITY OF FITCHBURG, OFFICE OF THE MAYOR","25","125","Recreation","Recreation","-","-","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.84463","42.56314"
"","GREENFIELD ELECTRIC LIGHT & POWER DAM","FERC P-2801","MA01326","10/17/2011","Local Government","TOWN OF GREENFIELD, OFFICE OF THE MAYOR","20.5","371","Other","Other","-","GREEN RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.604916","42.583467"
"","HOBBYS POND DAM","FERC P-2801","MA01722","06/22/2012","Private","MONADNOCK TRUST","8","31","Recreation","Recreation","Earth","UNNAMED","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.970278","42.612565"
"","SEARLES POND DAM","FERC P-2801","MA01284","04/14/2014","Local Government","CITY OF METHUEN, BOARD OF SELECTMEN","7.8","25.8","Other","Other","-","SPICKET RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.165203","42.730514"
"","MAKEPEACE #3 DAM","FERC P-2801","MA02080","-","Private","-","12","62.94","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.76430684","41.92976909"
"","MORDECAI LINCOLN ROAD POND DAM","FERC P-2801","MA02472","05/12/2015","Private","UNKNOWN","11","11","Recreation","Recreation","-","BOUND BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.788676","42.223088"
"","BRIGGS RESERVOIR #2 DAM","FERC P-2801","MA01033","-","Private","-","16","340","-","-","-","TRIBUTARY OF INDIAN BROOK","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.56001844","41.87540861"
"","ROSEMARY LAKE DAM","FERC P-2801","MA01112","09/10/2015","Local Government","TOWN OF NEEDHAM, BOARD OF SELECTMEN","12","91","Water Supply","Water Supply","Earth","ROSEMARY BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","02/21/2013","-71.23885117","42.28858071"
"","SANTUIT POND DAM","FERC P-2801","MA02445","08/19/2013","Local Government","TOWN OF MASHPEE, BOARD OF SELECTMEN","8","870","Irrigation","Irrigation, Recreation","Earth","SANTUIT RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.454","41.6466"
"","BICKFORD POND DAM","FERC P-2801","MA01021","11/14/2014","Local Government","CITY OF FITCHBURG, OFFICE OF THE MAYOR","49.2","3376","Water Supply","Water Supply","Earth","WEST WACHUSETT BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","03/02/2015","-71.93198401","42.4836524"
"","SHARKEY POND DAM","FERC P-2801","MA02629","-","Private","THOMAS E. SHARKEY","25","28.1","Recreation","Recreation","-","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.0078508","42.6061487"
"","SMITH POND DAM","FERC P-2801","MA02896","-","Private","DAVID S. PATRICK","14","38.65","-","-","-","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.71775405","42.14169404"
"","FIELD POND DAM","FERC P-2801","MA01134","05/26/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","14","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","TRIBUTARY OF SKUG RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.105642","42.60737"
"","MANNS POND DAM","FERC P-2801","MA01277","09/06/2012","Local Government","TOWN OF SHARON, DEPARTMENT OF PUBLIC WORKS","14","54","Recreation","Recreation","Earth","MASSAPOAG BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","08/01/2007","-71.165939","42.120757"
"","MILL BROOK CANAL DAM","FERC P-2801","MA02922","12/22/2014","Private","EAST VILLAGE SQUARE, LLC","9","30","Water Supply","Water Supply","-","MILL BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.861082","42.060522"
"","NEW BEDFORD RESERVOIR DAM","FERC P-2801","MA01014","07/25/2014","Local Government","CITY OF NEW BEDFORD","10","2265","Irrigation","Irrigation, Recreation","-","ACUSHNET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","08/01/2007","-70.900915","41.729046"
"","COOK POND DAM","-","MA03047","05/27/2015","Private","UNKNOWN","14.5","1000","Recreation","Recreation","Earth","UNNAMED","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","07/01/2012","-71.16980086","41.68336242"
"","SEALUND RESERVOIR DAM","FERC P-2801","MA02137","10/29/2010","Private","ROYSON REALTY TRUST","14.5","30","Recreation","Recreation","Earth","SMELT BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.71809","41.97518"
"","EGYPT RESERVOIR","FERC P-2801","MA01063","05/28/2014","Local Government","TOWN OF DALTON, DALTON FIRE DISTRICT","37","697","Water Supply","Water Supply","Earth","EGYPT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","09/24/2012","-73.13925731","42.49854002"
"","WHITEHALL POND DAM","FERC P-2801","MA02591","04/09/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","22","1400","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","LONGMEADOW BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.99395","42.37308"
"","WELD POND DAM","FERC P-2801","MA02261","06/16/2011","Private","MIT ENDICOTT HOUSE","17","180","Recreation","Recreation","Masonry","TRIBUTARY OF CHARLES RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.19854629","42.25071999"
"","PONKAPOAG POND DAM","-","MA03107","06/19/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","7","1653","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","PONKAPOAG BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","11/01/2006","-71.105099","42.190026"
"","LANCELOT LAKE DAM","-","MA03371","05/07/2014","Private","SHERWOOD FOREST LAKE DISTRICT","19","54","Recreation","Recreation","Earth","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.06311","42.26163"
"","SPOT POND DIKE #4","-","MA03317","05/22/2013","State","DCR - DEPT. OF CONSERVATION & RECREATION","9","7779","Water Supply","Water Supply","Earth","SPOT POND BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.100875","42.44839"
"","BREEDS POND DIKE #8","-","MA03164","04/27/2015","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","10","4000","Water Supply","Water Supply","Earth","MOORE'S BROOK TRIBUTARY OF SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/29/2013","-70.969573","42.486633"
"","WOODS POND DAM","-","MA03427","10/08/2015","Local Government","TOWN OF STOUGHTON DPW","9","114","Recreation","Recreation","Earth","-","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.114689","42.11773056"
"","OTTER RIVER DAM","FERC P-2801","MA01246","04/24/2009","Private","SEAMAN PAPER COMPANY OF MA INC.","10","80","Water Supply","Water Supply","Earth","OTTER RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.05172548","42.59635554"
"","LOWER FLINT POND DAM","FERC P-2801","MA02505","05/14/2015","State","DFG - DEPT. OF FISH AND GAME","28","16.5","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","-","DUNSTABLE BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.423463","42.676428"
"","FITCHBURG RESERVOIR SOUTH DIKE","FERC P-2801","MA01235","09/03/2013","Local Government","CITY OF FITCHBURG, DIVISION OF WATER SUPPLY","20","2337","Water Supply","Water Supply","Earth","OFFSTREAM","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","03/30/2007","-71.844102","42.644311"
"","NORTON WATER SUPPLY DAM #1","-","MA03072","-","Local Government","TOWN OF NORTON, CONSERVATION COMMISSION","21","82","-","-","-","THREE MILE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","N","N","N","-","-71.159873","41.955714"
"","SOUTH BROOK DAM","FERC P-2801","MA02398","11/14/2012","Local Government","TOWN OF BRIDGEWATER, BOARD OF SELECTMEN","8.95","42","Recreation","Recreation","Earth","SOUTH BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.95280409","41.98392482"
"","CUSKY POND DAM","FERC P-2801","MA01944","05/07/2015","State","DFG - DEPT. OF FISH AND GAME","7","140","Recreation","Recreation","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.0953866","42.32382017"
"","LITTLE ROBIN HOOD LAKE DAM","FERC P-2801","MA01054","05/07/2014","Private","SHERWOOD FOREST LAKE DISTRICT","13.1","48","Recreation","Recreation","Earth","WALKER BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.072369","42.258295"
"","SEARS MEADOW DAM","FERC P-2801","MA01253","-","Private","-","15.5","89.9","-","-","-","TRIBUTARY OF STONES BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-72.82277046","42.46886327"
"","COONAMESSET RIVER AT HATCHVILLE ROAD","FERC P-2801","MA01038","-","Local Government","TOWN OF FALMOUTH, BOARD OF SELECTMEN","8","1200","-","-","-","COONAMESSET RIVER","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.57357818","41.61252058"
"","WACHUSETT RESERVOIR NORTH DIKE","FERC P-2801","MA01294","08/06/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","85","250000","Water Supply","Water Supply","Earth","NASHUA RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","02/01/2013","-71.717337","42.400722"
"","BENNETT POND DAM","FERC P-2801","MA01737","06/26/2012","Private","HERMAN MORRILL","10.5","29","Recreation","Recreation","-","NATTY POND BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.022153","42.4999849"
"","STEDMAN MARSH DAM","FERC P-2801","MA02159","-","Private","HUME LAKE CHRISTIAN CAMPS, INC.","16","181.5","Water Supply","Water Supply","-","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.17368698","42.16238385"
"","WAYSIDE POND DAM","FERC P-2801","MA02317","09/25/2014","Local Government","CITY OF GARDNER, CITY ENGINEER","8","175","Flood Control","Flood Control","Earth","MAHONEY BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.96622089","42.55182877"
"","HACKETT POND DAM","FERC P-2801","MA01042","10/02/2013","Local Government","TOWN OF HANOVER, DEPARTMENT OF PUBLIC WORKS","12","43","Recreation","Recreation","Earth","LONGWATER BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.87056598","42.14342321"
"","FOURMILE POND DAM","FERC P-2801","MA01201","-","Private","CHARLES E. KILLAM","8","52.3","Recreation","Recreation","-","PYE BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.998462","42.679092"
"","WINCHELL RESERVOIR DAM","FERC P-2801","MA02364","10/28/2013","Local Government","CITY OF WESTFIELD, WATER RESOURCES DEPARTMENT","14.5","30","Other","Other","-","HOLLISTER BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.842132","42.083807"
"","WALKER POND DAM","FERC P-2801","MA01938","11/03/2010","State","DCR - DEPT. OF CONSERVATION & RECREATION","8","472","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","HOBBS BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.06347555","42.12796281"
"","BALCH POND DIKE","FERC P-2801","MA01186","07/12/2012","Local Government","TOWN OF AYER, BOARD OF SELECTMEN","3","60","Flood Control","Flood Control, Recreation, Fire Protection, Stock, Or Small Fish Pond","Earth","N/A","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.573719","42.554075"
"","LONG POND DAM","FERC P-2801","MA02407","06/07/2011","Local Government","TOWN OF EASTON, BOARD OF SELECTMEN","12","830","Recreation","Recreation","Earth","QUESET BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.11610318","42.0774404"
"","NORTH HARWICH RESERVOIR DAM","FERC P-2801","MA02423","08/25/2009","Local Government","TOWN OF HARWICH, BOARD OF SELECTMEN","7.6","216","Irrigation","Irrigation","Concrete","-","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.12192","41.68208"
"","MIDDLE POND DAM #2","-","MA03088","05/13/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","16.2","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","THOMPSON BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-70.990043","41.869147"
"","MT. PLEASANT POND DAM","FERC P-2801","MA02596","11/08/2011","Private","MOUNT PLEASANT COUNTRY CLUB","13","81","Irrigation","Irrigation","Earth","TRIBUTARY OF FRENCH BROOK","BOYLSTON","-","WORCESTER","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.71047645","42.36032384"
"","DANIELSON MILL DAM","-","MA03351","11/25/2014","Local Government","TOWN OF MEDFIELD, BOARD OF SELECTMEN","7","32.6","Recreation","Recreation","Earth","WEST BRANCH OF NANTASKET RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.29507","42.17054"
"","HOLLINGSWORTH & VOSE DAM","-","MA03136","05/13/2011","Private","HOLLINGSWORTH & VOSE COMPANY","11.5","45","Water Supply","Water Supply","Earth","NEPONSET RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.212758","42.16402"
"","BREEDS POND DIKE #10","-","MA03165","04/27/2015","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","5","700","Water Supply","Water Supply","Earth","MOORE'S BROOK TRIBUTARY OF SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/29/2013","-70.969388","42.485906"
"","BULLOUGHS POND DAM","-","MA03414","-","Private","-","9","30.8","-","-","-","TRIBUTARY OF CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.205243","42.341854"
"","BOUND BROOK DAM","BOUND BROOK CONTROL DAM","MA03197","12/02/2009","Local Government","TOWN OF COHASSET, BOARD OF SELECTMEN","11","600","Water Supply","Water Supply","Earth","BOUND BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.810972","42.217151"
"","WESTINGHOUSE DAM","KNIGHT STREET DAM, MILL POND DAM","MA03339","06/21/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","15","60","Flood Control","Flood Control, Recreation","Earth","MOTHER BROOK","-","0","-","MA","MA07","Michael E. Capuano (D)","Y","Y","Y","-","-71.133415","42.246708"
"","BORDERLAND S.P. DAM #2","-","MA03178","06/28/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","13.5","54","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF POQUANTICUT BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.150574","42.073309"
"","ALLEN RESERVOIR DAM","-","MA03210","04/29/2015","Local Government","TOWN OF WALPOLE, PL-566/FLOOD CONTROL, DEPARTMENT OF PUBLIC WORKS","21","207","Flood Control","Flood Control","Earth","SPRING BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","04/15/2014","-71.237361","42.135744"
"","OLD WATER SUPPLY DAM","-","MA03243","06/15/2013","Local Government","TOWN OF BEDFORD, TOWN HALL","12","17","Recreation","Recreation","Earth","TRIBUTARY OF SHAWSHEEN","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.25469","42.489729"
"","OCEAN SPRAY DAM","-","MA03363","-","Private","-","13","98","-","-","-","-","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","N","N","N","-","-70.963321","41.896121"
"","DUFFY MILL POND DAM","FERC P-2801","MA01661","-","Private","KETTLE BROOK LOFTS, LLC","17","5.77","-","-","-","KETTLE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.861825","42.239702"
"","RAIL ROAD POND DAM","FERC P-2801","MA01830","06/15/2015","Private","UNKNOWN","10","55","Recreation","Recreation","Earth","UNNAMED BROOK, TRIBUTARY TO CADY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.976938","42.174769"
"","MARLAND PLACE DAM","FERC P-2801","MA01215","05/08/2012","Private","POWDER MILL SQUARE, LLC","12.4","16.5","Recreation","Recreation","Timber Crib","SHAWSHEEN RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.14693657","42.66238663"
"","LAKE NOQUOCHOKE UPPER DAM","FERC P-2801","MA02402","03/02/2010","Local Government","CITY OF FALL RIVER, DEPT. OF COMMUNITY UTILITIES","8","630","Flood Control","Flood Control, Water Supply","-","WESTPORT RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-71.048454","41.646044"
